Title,Genre,Meta_Score,imdb_Rating,Box_Office,Rated,Studio,Release_Date,Poster_URL,Year,Category,Nominee,Won?
Coal Miner's Daughter,"Biography, Drama, Music",87.0,7.5,,PG,MCA Universal Home Video,07 Mar 1980,https://m.media-amazon.com/images/M/MV5BNzg1ZDg0ZDgtOGQzNi00Y2IyLTg2YzQtY2U1N2E4MjQzMjhiXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1980 (53rd),Best Picture,Coal Miner's Daughter,NO
The Elephant Man,"Biography, Drama",77.0,8.2,,PG,Paramount,10 Oct 1980,https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1980 (53rd),Best Picture,The Elephant Man,NO
Ordinary People,Drama,87.0,7.8,,R,Paramount Pictures,26 Feb 1981,https://m.media-amazon.com/images/M/MV5BNWU3MDFkYWQtMWQ5YS00YTcwLThmNDItODY4OWE2ZTdhZmIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1980 (53rd),Best Picture,Ordinary People,YES
Raging Bull,"Biography, Drama, Sport",89.0,8.2,,R,United Artists,19 Dec 1980,https://m.media-amazon.com/images/M/MV5BYjRmODkzNDItMTNhNi00YjJlLTg0ZjAtODlhZTM0YzgzYThlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg,1980 (53rd),Best Picture,Raging Bull,NO
Tess,"Drama, Romance",82.0,7.3,,PG,Criterion Collection,12 Dec 1980,https://m.media-amazon.com/images/M/MV5BMWM1YjgwOTMtM2IzMi00ZGE2LWI3YzAtMjZmNjBhNGU4ZTcyXkEyXkFqcGdeQXVyMzk3NTUwOQ@@._V1_SX300.jpg,1980 (53rd),Best Picture,Tess,NO
All That Jazz,"Drama, Music, Musical",72.0,7.8,,R,20th Century Fox Film Corporation,20 Dec 1979,https://m.media-amazon.com/images/M/MV5BZWE4N2JkNDUtZDU4MC00ZjNhLTlkMjYtOTNkMjZhMDAwMDMyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1979 (52nd),Best Picture,All That Jazz,NO
Apocalypse Now,"Drama, War",94.0,8.5,,R,United Artists,15 Aug 1979,https://m.media-amazon.com/images/M/MV5BZTNkZmU0ZWQtZjQzMy00YTNmLWFmN2MtZGNkMmU1OThmMGYwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1979 (52nd),Best Picture,Apocalypse Now,NO
Breaking Away,"Comedy, Drama, Romance, Sport",91.0,7.7,,PG,Twentieth Century Fox,20 Jul 1979,https://m.media-amazon.com/images/M/MV5BNzg2NjA3N2YtMTNlNC00MDg5LWE4MWEtMzE4NjFlYjY4MGJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1979 (52nd),Best Picture,Breaking Away,NO
Kramer vs. Kramer,Drama,77.0,7.8,,PG,Sony Pictures Home Entertainment,19 Dec 1979,https://m.media-amazon.com/images/M/MV5BNDM3YjNlYmMtOGY3NS00MmRjLWIyY2UtNDA0MWM3OTNlZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1979 (52nd),Best Picture,Kramer vs. Kramer,YES
Norma Rae,Drama,61.0,7.4,,PG,20th Century Fox Film Corporat,02 Mar 1979,https://m.media-amazon.com/images/M/MV5BYjk0NDRjMzctNjkwMS00ODYwLWFkZDEtYjFjODE3ZTk3OGY5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1979 (52nd),Best Picture,Norma Rae,NO
Coming Home,"Drama, Romance, War",61.0,7.3,,R,MGM Home Entertainment,15 Feb 1978,https://m.media-amazon.com/images/M/MV5BNTZmMmE4YWQtNjhkYi00NGM0LWI4YTQtZjk2ZTJkNWE1MjVjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1978 (51st),Best Picture,Coming Home,NO
The Deer Hunter,"Drama, War",86.0,8.1,,R,Universal Pictures,23 Feb 1979,https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1978 (51st),Best Picture,The Deer Hunter,YES
Heaven Can Wait,"Comedy, Fantasy, Romance, Sport",72.0,6.9,,PG,Paramount Home Video,28 Jun 1978,https://m.media-amazon.com/images/M/MV5BN2NlOGI1YTMtZjk3My00YWY4LWE2ZGUtNzA2Y2E1ZjU0ZTZmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,1978 (51st),Best Picture,Heaven Can Wait,NO
Heaven Can Wait,"Comedy, Fantasy, Romance, Sport",72.0,6.9,,PG,Paramount Home Video,28 Jun 1978,https://m.media-amazon.com/images/M/MV5BN2NlOGI1YTMtZjk3My00YWY4LWE2ZGUtNzA2Y2E1ZjU0ZTZmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,1943 (16th),Best Picture,Heaven Can Wait,NO
Heaven Can Wait,"Comedy, Fantasy, Romance, Sport",72.0,6.9,,PG,Paramount Home Video,28 Jun 1978,https://m.media-amazon.com/images/M/MV5BN2NlOGI1YTMtZjk3My00YWY4LWE2ZGUtNzA2Y2E1ZjU0ZTZmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,1978 (51st),Best Picture,Heaven Can Wait,NO
Heaven Can Wait,"Comedy, Fantasy, Romance, Sport",72.0,6.9,,PG,Paramount Home Video,28 Jun 1978,https://m.media-amazon.com/images/M/MV5BN2NlOGI1YTMtZjk3My00YWY4LWE2ZGUtNzA2Y2E1ZjU0ZTZmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,1943 (16th),Best Picture,Heaven Can Wait,NO
Midnight Express,"Biography, Crime, Drama, Thriller",59.0,7.6,,R,Sony Pictures Home Entertainment,06 Oct 1978,https://m.media-amazon.com/images/M/MV5BNDU1MjQ0YWMtMWQ2MS00NTdmLTg1MGItNDA5NTNkNTRhOTIyXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,1978 (51st),Best Picture,Midnight Express,NO
An Unmarried Woman,"Comedy, Drama, Romance",,7.2,,R,20th Century Fox Film Corporation,26 May 1978,https://m.media-amazon.com/images/M/MV5BMTNhNzU5OGItZDk5Zi00NjJlLTkzMGMtZDNmNjQ5ZjZjZjRhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1978 (51st),Best Picture,An Unmarried Woman,NO
Annie Hall,"Comedy, Romance",92.0,8.0,,PG,United Artists,20 Apr 1977,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1977 (50th),Best Picture,Annie Hall,YES
The Goodbye Girl,"Comedy, Drama, Romance",,7.4,,PG,MGM Home Entertainment,30 Nov 1977,https://m.media-amazon.com/images/M/MV5BOWRlNGI5NjAtNDFjZi00YTc1LTkxNGQtNzljMDY0OWY1NjRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,1977 (50th),Best Picture,The Goodbye Girl,NO
Julia,Drama,58.0,7.3,,PG,20th Century Fox Film Corporation,20 Jan 1978,https://m.media-amazon.com/images/M/MV5BNTI2YjQ3MWYtODczNy00M2VmLWI2ODYtYmVlMzc1MTQ3MzM1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1977 (50th),Best Picture,Julia,NO
The Turning Point,"Drama, Romance",68.0,6.9,,PG,Paramount Pictures,18 Nov 1977,https://m.media-amazon.com/images/M/MV5BYTAwYjZjODUtMmM0My00YjhkLTg2MDctMjIwMzUyZGMzZWYzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1977 (50th),Best Picture,The Turning Point,NO
All the President's Men,"Biography, Drama, History, Thriller",80.0,8.0,,PG,Warner Home Video,09 Apr 1976,https://m.media-amazon.com/images/M/MV5BOWI2YWQxM2MtY2U4Yi00YjgzLTgwNzktN2ExNTgzNTIzMmUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1976 (49th),Best Picture,All the President's Men,NO
Bound for Glory,"Biography, Drama, Music",70.0,7.3,,PG,United Artists,05 Dec 1976,https://m.media-amazon.com/images/M/MV5BOWRlMmU0OGUtZjhjMS00YWQ2LWEzNzYtMWYxOWMwNjhkMGVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1976 (49th),Best Picture,Bound for Glory,NO
Network,Drama,83.0,8.1,,R,MGM/United Artists,27 Nov 1976,https://m.media-amazon.com/images/M/MV5BNmFiOWY3ZTktOTYwNy00ZTUzLTk0ODQtNzIxMzQ0ZDFjMTgyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,1976 (49th),Best Picture,Network,NO
Rocky,"Drama, Sport",70.0,8.1,,PG,United Artists,03 Dec 1976,https://m.media-amazon.com/images/M/MV5BMTY5MDMzODUyOF5BMl5BanBnXkFtZTcwMTQ3NTMyNA@@._V1_SX300.jpg,1976 (49th),Best Picture,Rocky,YES
Taxi Driver,"Crime, Drama",94.0,8.3,,R,Columbia Pictures,08 Feb 1976,https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1976 (49th),Best Picture,Taxi Driver,NO
Barry Lyndon,"Adventure, Drama, History, War",89.0,8.1,,PG,Warner Bros.,18 Dec 1975,https://m.media-amazon.com/images/M/MV5BNmY0MWY2NDctZDdmMi00MjA1LTk0ZTQtZDMyZTQ1NTNlYzVjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1975 (48th),Best Picture,Barry Lyndon,NO
Dog Day Afternoon,"Biography, Crime, Drama, Thriller",86.0,8.0,,R,WARNER BROTHERS PICTURES,25 Dec 1975,https://m.media-amazon.com/images/M/MV5BMzljMjBhODItYTYyYi00NzMwLTkyZDQtNjQ4MWU0MzhmNDU4XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1975 (48th),Best Picture,Dog Day Afternoon,NO
Jaws,"Adventure, Drama, Thriller",87.0,8.0,,PG,Universal Pictures,20 Jun 1975,https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,1975 (48th),Best Picture,Jaws,NO
Chinatown,"Drama, Mystery, Thriller",92.0,8.2,,R,Paramount Pictures,20 Jun 1974,https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1974 (47th),Best Picture,Chinatown,NO
The Conversation,"Drama, Mystery, Thriller",85.0,7.9,,PG,Paramount Pictures,01 Jun 1974,https://m.media-amazon.com/images/M/MV5BYTQxYWJlYTgtMTk5MS00ZGFiLWI5MWItYjhkNjM3YmUyNjYxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1974 (47th),Best Picture,The Conversation,NO
Lenny,"Biography, Drama",61.0,7.6,,R,Twentieth Century Fox Home Entertainment,01 Dec 1974,https://m.media-amazon.com/images/M/MV5BMzNhZjUwMmEtZDRmOS00OTYwLTlmYjgtZGFjZjFmMzI3YjBhXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1974 (47th),Best Picture,Lenny,NO
The Towering Inferno,"Action, Drama, Thriller",69.0,6.9,,PG,20th Century Fox,01 Jan 1975,https://m.media-amazon.com/images/M/MV5BMjA1N2JlMjItMTExZC00NTIxLWE2YTYtY2ZkM2M5OWM3M2YyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,1974 (47th),Best Picture,The Towering Inferno,NO
American Graffiti,"Comedy, Drama",97.0,7.5,,PG,Universal Pictures,11 Aug 1973,https://m.media-amazon.com/images/M/MV5BMjI5NjM5MjIyNF5BMl5BanBnXkFtZTgwNjg2MTUxMDE@._V1_SX300.jpg,1973 (46th),Best Picture,American Graffiti,NO
The Exorcist,Horror,82.0,8.0,,R,Warner Bros. Pictures,26 Dec 1973,https://m.media-amazon.com/images/M/MV5BYjhmMGMxZDYtMTkyNy00YWVmLTgyYmUtYTU3ZjcwNTBjN2I1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1973 (46th),Best Picture,The Exorcist,NO
The Sting,"Comedy, Crime, Drama",80.0,8.3,,PG,Universal Pictures,25 Dec 1973,https://m.media-amazon.com/images/M/MV5BZWNmODRmOTAtYTJhYi00NjllLTg3MTktNTBmZDZiNjJjZWVjXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,1973 (46th),Best Picture,The Sting,YES
A Touch of Class,"Comedy, Romance",,6.5,,PG,Media Home Entertainment,09 Aug 1973,https://ia.media-imdb.com/images/M/MV5BNTlhZThiNzAtNzVlNC00ODhjLThhOWQtMWM5NGVlYzg3OGI4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,1973 (46th),Best Picture,A Touch of Class,NO
Cabaret,"Drama, Musical",80.0,7.8,,PG,Twentieth Century Fox Home Entertainment,13 Feb 1972,https://m.media-amazon.com/images/M/MV5BNTEyMzc0Mjk5MV5BMl5BanBnXkFtZTgwMjI2NDIwMTE@._V1_SX300.jpg,1972 (45th),Best Picture,Cabaret,NO
Deliverance,"Adventure, Drama, Thriller",82.0,7.7,,R,Warner Bros.,18 Aug 1972,https://m.media-amazon.com/images/M/MV5BZjBhYzU3NWItOWZjMy00NjI5LWFmYmItZmIyOWFlMDIxMWNiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1972 (45th),Best Picture,Deliverance,NO
The Emigrants,"Drama, History",,8.0,,PG,Swedish Film Production,08 Mar 1971,https://m.media-amazon.com/images/M/MV5BZTJlMGEwMTgtNWRlOC00NmQ5LThiY2UtMGZjNTllNTEwZTdhXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,1972 (45th),Best Picture,The Emigrants,NO
The Godfather,"Crime, Drama",100.0,9.2,,R,Paramount Pictures,24 Mar 1972,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1972 (45th),Best Picture,The Godfather,YES
Sounder,"Drama, Family",80.0,7.6,,G,Rainbow Group / KOCH Entertainment,26 Apr 1973,https://m.media-amazon.com/images/M/MV5BYmU0ZDhlNWQtZDI1OC00ODdmLWI3MTktYTI0Yzg2MDc5MjRlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,1972 (45th),Best Picture,Sounder,NO
A Clockwork Orange,"Crime, Drama, Sci-Fi",80.0,8.3,,R,Warner Bros.,02 Feb 1972,https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX300.jpg,1971 (44th),Best Picture,A Clockwork Orange,NO
Fiddler on the Roof,"Drama, Family, Musical, Romance",67.0,8.0,,G,United Artists,03 Nov 1971,https://m.media-amazon.com/images/M/MV5BMWMxNDYzNmUtYjFmNC00MGM2LWFmNzMtODhlMGNkNDg5MjE5XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1971 (44th),Best Picture,Fiddler on the Roof,NO
The French Connection,"Action, Crime, Drama, Thriller",94.0,7.8,,R,20th Century Fox,09 Oct 1971,https://m.media-amazon.com/images/M/MV5BOTZhY2E3NmItMGIwNi00OTA2LThkYmEtODFiZTM0NGI0ZWU5XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,1971 (44th),Best Picture,The French Connection,YES
The Last Picture Show,Drama,93.0,8.1,,R,Columbia Pictures,22 Oct 1971,https://m.media-amazon.com/images/M/MV5BNmVjNzZkZjQtYmM5ZC00M2I0LWJhNzktNDk3MGU1NWMxMjFjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1971 (44th),Best Picture,The Last Picture Show,NO
Nicholas and Alexandra,"Biography, Drama, History, War",,7.3,,GP,Sony Pictures Home Entertainment,13 Dec 1971,https://m.media-amazon.com/images/M/MV5BMjNiZmU0MDYtMmQwNi00OWY3LTg4MWItYTIyOTFkYTJiMWFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1971 (44th),Best Picture,Nicholas and Alexandra,NO
Airport,"Action, Drama, Thriller",42.0,6.6,,G,Universal Pictures,25 Mar 1970,https://m.media-amazon.com/images/M/MV5BOTk5NWJkYjItMjA2MC00NThiLWE4NTctOTFlYjcwOTA1YTM1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1970 (43rd),Best Picture,Airport,NO
Five Easy Pieces,Drama,85.0,7.5,,R,Columbia Pictures,19 Feb 1971,https://m.media-amazon.com/images/M/MV5BMTRiY2VkMjctNWQzZC00NjAyLTkzNjktYzAwN2M2ODNhOTA1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,1970 (43rd),Best Picture,Five Easy Pieces,NO
Love Story,"Drama, Romance",84.0,6.9,,PG,Paramount Pictures,16 Dec 1970,https://m.media-amazon.com/images/M/MV5BZmFjYWU1MGQtM2FiMi00YjA3LWIwYjUtZDdhYWEyOWFhZGE0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,1970 (43rd),Best Picture,Love Story,NO
Patton,"Biography, Drama, War",91.0,8.0,,GP,Twentieth Century Fox Home Entertainment,02 Apr 1970,https://m.media-amazon.com/images/M/MV5BMmNhZmJhMmYtNjlkMC00MjhjLTk1NzMtMTNlMzYzNjZlMjNiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1970 (43rd),Best Picture,Patton,YES
Anne of the Thousand Days,"Biography, Drama, History",,7.5,,PG,Universal Pictures,18 Dec 1969,https://m.media-amazon.com/images/M/MV5BNTBiYWU5NmUtOTZkZi00NzU5LWFhYWQtMzM1ZjhjZTA1ZWQ3XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,1969 (42nd),Best Picture,Anne of the Thousand Days,NO
Butch Cassidy and the Sundance Kid,"Biography, Crime, Drama, Western",66.0,8.1,,PG,20th Century Fox,24 Oct 1969,https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_SX300.jpg,1969 (42nd),Best Picture,Butch Cassidy and the Sundance Kid,NO
"Hello, Dolly!","Adventure, Comedy, Musical, Romance",,7.2,,G,20th Century Fox,16 Dec 1969,https://m.media-amazon.com/images/M/MV5BODJmZmFiNzQtMDJiYS00ZTgzLTljZGMtNjEzNzM4NmEyYjNiXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1969 (42nd),Best Picture,"Hello, Dolly!",NO
Midnight Cowboy,Drama,79.0,7.9,,R,United Artists,16 Jun 1969,https://m.media-amazon.com/images/M/MV5BNTgwZmIzMmYtZjE3Yy00NzgzLTgxNmUtNjlmZDlkMzlhOTJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1969 (42nd),Best Picture,Midnight Cowboy,YES
Z,"Crime, Drama, History, Thriller",,8.2,,M/PG,Rialto Pictures,08 Dec 1969,https://m.media-amazon.com/images/M/MV5BM2JjM2MwMDAtNGRhMi00MDZiLWIwMzYtYTZmMTc0MDU1ZWU5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1969 (42nd),Best Picture,Z,NO
Funny Girl,"Biography, Comedy, Drama, Musical, Romance",89.0,7.6,,G,Columbia Pictures,19 Sep 1968,https://m.media-amazon.com/images/M/MV5BNTAxZTA2OTAtYzY1OC00NGZlLWJlZDItOWZhMjU4YTc3YWRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1968 (41st),Best Picture,Funny Girl,NO
The Lion in Winter,"Biography, Drama, History",,8.1,"$18,177",PG,Nelson Entertainment,30 Oct 1968,https://m.media-amazon.com/images/M/MV5BMTkzNzYyMzA5N15BMl5BanBnXkFtZTgwODcwODQ3MDI@._V1_SX300.jpg,1968 (41st),Best Picture,The Lion in Winter,NO
Oliver!,"Drama, Family, Musical",,7.5,,G,Sony Pictures Home Entertainment,27 Sep 1968,https://m.media-amazon.com/images/M/MV5BNWQwNTE4NWQtZDg0MC00ZDhkLWIzMzQtNDU1MDIxZTNmM2M3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1968 (41st),Best Picture,Oliver!,YES
"Rachel, Rachel","Drama, Romance",,7.5,,APPROVED,Warner Bros.,26 Aug 1968,https://m.media-amazon.com/images/M/MV5BOWFiZGY1ZDQtMGQzNC00N2FiLTkyYTYtOWU1ZGQ1YjY1ZTY0XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1968 (41st),Best Picture,"Rachel, Rachel",NO
Romeo and Juliet,"Drama, Romance",,7.6,,PG,Paramount Home Video,08 Oct 1968,https://m.media-amazon.com/images/M/MV5BMTkyMjIzOTcwOF5BMl5BanBnXkFtZTgwNzk2NjYxMTE@._V1_SX300.jpg,1968 (41st),Best Picture,Romeo and Juliet,NO
Romeo and Juliet,"Drama, Romance",,7.6,,PG,Paramount Home Video,08 Oct 1968,https://m.media-amazon.com/images/M/MV5BMTkyMjIzOTcwOF5BMl5BanBnXkFtZTgwNzk2NjYxMTE@._V1_SX300.jpg,1936 (9th),Best Picture,Romeo and Juliet,NO
Romeo and Juliet,"Drama, Romance",,7.6,,PG,Paramount Home Video,08 Oct 1968,https://m.media-amazon.com/images/M/MV5BMTkyMjIzOTcwOF5BMl5BanBnXkFtZTgwNzk2NjYxMTE@._V1_SX300.jpg,1968 (41st),Best Picture,Romeo and Juliet,NO
Romeo and Juliet,"Drama, Romance",,7.6,,PG,Paramount Home Video,08 Oct 1968,https://m.media-amazon.com/images/M/MV5BMTkyMjIzOTcwOF5BMl5BanBnXkFtZTgwNzk2NjYxMTE@._V1_SX300.jpg,1936 (9th),Best Picture,Romeo and Juliet,NO
Bonnie and Clyde,"Action, Biography, Crime, Drama",81.0,7.8,,R,Warner Brothers/Seven Arts,01 Sep 1967,https://m.media-amazon.com/images/M/MV5BOTViZmMwOGEtYzc4Yy00ZGQ1LWFkZDQtMDljNGZlMjAxMjhiXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_SX300.jpg,1967 (40th),Best Picture,Bonnie and Clyde,NO
Doctor Dolittle,"Comedy, Family, Fantasy",46.0,5.4,,PG-13,20th Century Fox,26 Jun 1998,https://m.media-amazon.com/images/M/MV5BNGVmYjI4ZjktMjVkNi00ZTRlLWJlYTMtNzMxYjQ0ZDIyZWNmXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,1967 (40th),Best Picture,Doctor Dolittle,NO
The Graduate,"Comedy, Drama, Romance",83.0,8.0,,PG,Embassy Pictures/Rialto Pictures,22 Dec 1967,https://m.media-amazon.com/images/M/MV5BNjQ4MzUzYjYtYzk1My00M2Y2LWExMDEtY2E1NTlhMmQ0NGQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1967 (40th),Best Picture,The Graduate,NO
Guess Who's Coming to Dinner,"Comedy, Drama",63.0,7.8,,Not Rated,Columbia Pictures Corporation,12 Dec 1967,https://m.media-amazon.com/images/M/MV5BZTVmMTk2NjUtNjVjNC00OTcwLWE4OWEtNzA4Mjk1ZmIwNDExXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1967 (40th),Best Picture,Guess Who's Coming to Dinner,NO
In the Heat of the Night,"Crime, Drama, Mystery, Thriller",75.0,8.0,,Not Rated,MGM,25 Oct 1967,https://m.media-amazon.com/images/M/MV5BZjZhZTZkNWItZGE1My00MTRkLWI2ZDktMWZkZTIxZWYxOTgzXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,1967 (40th),Best Picture,In the Heat of the Night,YES
Alfie,"Comedy, Drama, Romance",49.0,6.2,"$13,351,235",R,Paramount Pictures,05 Nov 2004,https://m.media-amazon.com/images/M/MV5BNTBjOWQwZDEtZWRlYi00YzY0LTg3NDQtYzRiYjk2YjMyMzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1966 (39th),Best Picture,Alfie,NO
A Man for All Seasons,"Biography, Drama, History",,7.8,,G,Sony Pictures Home Entertainment,03 May 1967,https://m.media-amazon.com/images/M/MV5BMTRjOTA1NzctNzFmMy00ZjcwLWExYjgtYWQyZDM5ZWY1Y2JlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,1966 (39th),Best Picture,A Man for All Seasons,YES
The Sand Pebbles,"Adventure, Drama, Romance, War",,7.7,,PG-13,Twentieth Century Fox Home Entertainment,20 Dec 1966,https://m.media-amazon.com/images/M/MV5BNzM4NWQzNzAtNjc0Yy00NjFiLWFiMjUtMTczNWYwMGY1YjUyXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,1966 (39th),Best Picture,The Sand Pebbles,NO
Who's Afraid of Virginia Woolf?,Drama,75.0,8.0,,Not Rated,Warner Home Video,22 Jun 1966,https://m.media-amazon.com/images/M/MV5BMjQ5ODI1MjQtMDc0Zi00OGQ1LWE2NTYtMTg1YTkxM2E5NzFkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,1966 (39th),Best Picture,Who's Afraid of Virginia Woolf?,NO
Darling,"Drama, Romance",,7.2,,TV-MA,Lionsgate,03 Aug 1965,https://m.media-amazon.com/images/M/MV5BOTYyMThlNWEtMmQxYi00ZDU4LWI3NzQtOTZiMTFkOGJkMmI0XkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_SX300.jpg,1965 (38th),Best Picture,Darling,NO
Doctor Zhivago,"Drama, Romance, War",69.0,8.0,,PG-13,MGM,31 Dec 1965,https://m.media-amazon.com/images/M/MV5BNzdmZTk4MTktZmExNi00OWEwLTgxZDctNTE4NWMwNjc1Nzg2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1965 (38th),Best Picture,Doctor Zhivago,NO
Ship of Fools,"Drama, Romance, War",,7.2,,Not Rated,Columbia Pictures,01 Oct 1965,https://m.media-amazon.com/images/M/MV5BZDc5ODNmYzAtM2I2NS00ZTEwLWIwMTQtMTM0NWIwODk0NmM4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1965 (38th),Best Picture,Ship of Fools,NO
The Sound of Music,"Biography, Drama, Family, Musical, Romance",63.0,8.0,,G,20th Century-Fox,01 Apr 1965,https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1965 (38th),Best Picture,The Sound of Music,YES
